x_mm,y_mm
0.338461538,0.041335964
0.342307692,0.044392717
0.346153846,0.044001469
0.350000000,0.040903344
0.353846154,0.036225039
0.357692308,0.031770454
0.361538462,0.029777727
0.365384615,0.029933980
0.369230769,0.033027035
0.373076923,0.037952368
0.376923077,0.042987573
0.380769231,0.047209250
0.384615385,0.049171280
0.388461538,0.048474291
0.392307692,0.046502544
0.396153846,0.044824851
0.400000000,0.044059464
0.403846154,0.044550452
0.407692308,0.045634475
0.411538462,0.046392824
0.415384615,0.046864259
0.419230769,0.047401199
0.423076923,0.047758094
0.426923077,0.048354839
0.430769231,0.048831228
0.434615385,0.047400410
0.438461538,0.040354537
0.442307692,0.029249729
0.446153846,0.017950356
0.450000000,0.007094841
0.453846154,-0.001850290
0.457692308,-0.008474293
0.461538462,-0.015020601
0.465384615,-0.019973528
0.469230769,-0.024601902
0.473076923,-0.031007342
0.476923077,-0.037736858
0.480769231,-0.036866408
0.484615385,-0.023275568
0.488461538,-0.003795468
0.492307692,0.011641017
0.496153846,0.017476790
0.500000000,0.013038291
0.503846154,0.009044322
0.507692308,0.008199861
0.511538462,0.008490641
0.515384615,0.008594368
0.519230769,0.008200348
0.523076923,0.008211346
0.526923077,0.010065902
0.530769231,0.012406210
0.534615385,0.015243678
0.538461538,0.017490841
0.542307692,0.019689845
0.546153846,0.021581643
0.550000000,0.024574442
0.553846154,0.028335750
0.557692308,0.032983051
0.561538462,0.036927326
0.565384615,0.039417835
0.569230769,0.041127848
0.573076923,0.043304176
0.576923077,0.046235028
0.580769231,0.049940695
0.584615385,0.052849170
0.588461538,0.055228670
0.592307692,0.058285009
0.596153846,0.060859342
0.600000000,0.063366374
0.603846154,0.062746762
0.607692308,0.060458156
0.611538462,0.058437886
0.615384615,0.057062555
0.619230769,0.057122119
0.623076923,0.054547942
0.626923077,0.050262921
0.630769231,0.046036764
0.634615385,0.039854532
0.638461538,0.035332992
0.642307692,0.031416375
0.646153846,0.026854750
0.650000000,0.017876994
0.653846154,0.004388406
0.657692308,-0.008007863
0.661538462,-0.017403774
0.665384615,-0.018534974
0.669230769,-0.009250670
0.673076923,0.007901376
0.676923077,0.028185716
0.680769231,0.045509520
0.684615385,0.055748457
0.688461538,0.059163376
0.692307692,0.060683494
0.696153846,0.063887596
0.700000000,0.069051807
0.703846154,0.076551942
0.707692308,0.083965463
0.711538462,0.090423909
0.715384615,0.095025669
0.719230769,0.096388554
0.723076923,0.097748235
0.726923077,0.098208634
0.730769231,0.098644063
0.734615385,0.098257413
0.738461538,0.098451121
0.742307692,0.098162650
0.746153846,0.097351846
0.750000000,0.095995814
0.753846154,0.093805946
0.757692308,0.090512612
0.761538462,0.086837090
0.765384615,0.083866322
0.769230769,0.081303541
0.773076923,0.077528484
0.776923077,0.067747319
0.780769231,0.052016871
0.784615385,0.034493901
0.788461538,0.019531487
0.792307692,0.009462914
0.796153846,0.005294611
0.800000000,0.006093375
0.803846154,0.007502117
0.807692308,0.008013630
0.811538462,0.007965042
0.815384615,0.011138976
0.819230769,0.019869643
0.823076923,0.032053744
0.826923077,0.044952057
0.830769231,0.053666046
0.834615385,0.054633745
0.838461538,0.052093171
0.842307692,0.049447996
0.846153846,0.049508158
0.850000000,0.050928625
0.853846154,0.052654668
0.857692308,0.054307427
0.861538462,0.055637654
0.865384615,0.056714293
0.869230769,0.057152386
0.873076923,0.055919010
0.876923077,0.053151029
0.880769231,0.049041078
0.884615385,0.046715541
0.888461538,0.046025852
0.892307692,0.046982004
0.896153846,0.048876318
0.900000000,0.050127719
0.903846154,0.051339856
0.907692308,0.049575963
0.911538462,0.045122873
0.915384615,0.040536184
0.919230769,0.034791805
0.923076923,0.029003036
0.926923077,0.025423907
0.930769231,0.022807381
0.934615385,0.018704972
0.938461538,0.011455003
0.942307692,0.003558305
0.946153846,-0.000997413
0.950000000,-0.002334468
0.953846154,-0.000722547
0.957692308,0.001923252
0.961538462,0.002085606
0.965384615,0.000405233
0.969230769,-0.002709863
0.973076923,-0.006336145
0.976923077,-0.008811496
0.980769231,-0.010390478
0.984615385,-0.010209667
0.988461538,-0.009950423
0.992307692,-0.008628817
0.996153846,-0.006580695
1.000000000,-0.004519292
1.003846154,-0.001452767
1.007692308,0.001767119
1.011538462,0.004042139
1.015384615,0.004568455
1.019230769,0.003647377
1.023076923,0.000277087
1.026923077,-0.004332630
1.030769231,-0.008520550
1.034615385,-0.011045772
1.038461538,-0.010905260
1.042307692,-0.009026119
1.046153846,-0.007444498
1.050000000,-0.007483578
1.053846154,-0.010118946
1.057692308,-0.015157350
1.061538462,-0.019853524
1.065384615,-0.023502242
1.069230769,-0.023839951
1.073076923,-0.020678093
1.076923077,-0.016562302
1.080769231,-0.013194904
1.084615385,-0.011441528
1.088461538,-0.011833434
1.092307692,-0.012893324
1.096153846,-0.012089106
1.100000000,-0.012761992
1.103846154,-0.013570475
1.107692308,-0.014816603
1.111538462,-0.017152512
1.115384615,-0.019434257
1.119230769,-0.021754934
1.123076923,-0.024429848
1.126923077,-0.026550787
1.130769231,-0.027121147
