distance_mm,height_mm,level,x_profile_mm,y_profile_mm,x_samlight_mm,y_samlight_mm
0.559506,0.001668,2,3.569916,-3.405126,-50.500660,-0.255523
0.563211,0.003037,2,3.566640,-3.406859,-50.503932,-0.257211
0.566916,0.004591,2,3.563365,-3.408591,-50.507205,-0.258898
0.570622,0.007857,2,3.560090,-3.410324,-50.510478,-0.260586
0.574327,0.012786,2,3.556814,-3.412056,-50.513750,-0.262273
0.578032,0.019078,2,3.553539,-3.413789,-50.517023,-0.263961
0.581738,0.025943,2,3.550264,-3.415521,-50.520296,-0.265648
0.585443,0.031913,2,3.546988,-3.417254,-50.523568,-0.267336
0.589148,0.035087,2,3.543713,-3.418986,-50.526841,-0.269023
0.592854,0.035877,2,3.540438,-3.420719,-50.530114,-0.270711
0.596559,0.033575,2,3.537162,-3.422451,-50.533386,-0.272398
0.600264,0.029400,2,3.533887,-3.424184,-50.536659,-0.274086
0.603970,0.024616,2,3.530612,-3.425916,-50.539932,-0.275773
0.607675,0.020100,2,3.527336,-3.427649,-50.543204,-0.277461
0.611380,0.017129,2,3.524061,-3.429381,-50.546477,-0.279148
0.615086,0.015200,2,3.520786,-3.431114,-50.549750,-0.280836
0.618791,0.013845,2,3.517510,-3.432846,-50.553022,-0.282523
0.622496,0.012494,2,3.514235,-3.434579,-50.556295,-0.284211
0.626202,0.011143,2,3.510959,-3.436311,-50.559568,-0.285898
0.629907,0.009434,2,3.507684,-3.438044,-50.562840,-0.287586
0.633612,0.007440,2,3.504409,-3.439776,-50.566113,-0.289273
0.637318,0.006368,2,3.501133,-3.441509,-50.569386,-0.290961
0.641023,0.005818,2,3.497858,-3.443241,-50.572658,-0.292648
0.644728,0.005460,2,3.494583,-3.444974,-50.575931,-0.294336
0.648434,0.005897,2,3.491307,-3.446706,-50.579204,-0.296023
0.652139,0.006722,2,3.488032,-3.448439,-50.582476,-0.297711
0.655844,0.007000,2,3.484757,-3.450171,-50.585749,-0.299398
0.659550,0.005653,2,3.481481,-3.451904,-50.589022,-0.301086
0.663255,0.003601,2,3.478206,-3.453636,-50.592294,-0.302773
0.666960,0.000600,2,3.474931,-3.455369,-50.595567,-0.304461
0.670666,-0.002702,2,3.471655,-3.457101,-50.598840,-0.306148
0.674371,-0.004929,2,3.468380,-3.458834,-50.602112,-0.307836
0.678076,-0.006227,2,3.465104,-3.460566,-50.605385,-0.309523
0.681782,-0.006644,2,3.461829,-3.462299,-50.608657,-0.311211
0.685487,-0.006836,2,3.458554,-3.464031,-50.611930,-0.312898
0.689192,-0.006824,2,3.455278,-3.465764,-50.615203,-0.314586
0.692898,-0.006165,2,3.452003,-3.467496,-50.618475,-0.316273
0.696603,-0.005468,2,3.448728,-3.469229,-50.621748,-0.317961
0.700308,-0.003989,2,3.445452,-3.470961,-50.625021,-0.319648
0.704014,-0.002821,2,3.442177,-3.472694,-50.628293,-0.321336
0.707719,-0.002551,2,3.438902,-3.474426,-50.631566,-0.323024
0.711424,-0.003919,2,3.435626,-3.476159,-50.634839,-0.324711
0.715130,-0.004826,2,3.432351,-3.477891,-50.638111,-0.326399
0.718835,-0.006556,2,3.429076,-3.479624,-50.641384,-0.328086
0.722540,-0.007000,2,3.425800,-3.481356,-50.644657,-0.329774
0.726246,-0.007491,2,3.422525,-3.483089,-50.647929,-0.331461
0.729951,-0.008000,2,3.419250,-3.484821,-50.651202,-0.333149
0.733656,-0.008055,2,3.415974,-3.486554,-50.654475,-0.334836
